compound_id	num_recognized_nodes	iso_class_idx
PNPdb00639	8	272
NPA009730	4	273
NPA010719	2	274
PNPdb01970	7	275
PNPdb00640	11	276
PNPdb01971	7	167
NPA009725	5	277
PNPdb00642	11	278
PNPdb01973	8	279
PNPdb00643	5	280
PNPdb01974	6	281
PNPdb00644	10	282
PNPdb01975	7	112
NPA026294	4	283
PNPdb00645	13	284
PNPdb01976	8	285
NPA026293	4	286
PNPdb01977	8	287
NPA026292	4	288
PNPdb01978	10	289
PNPdb00648	3	290
PNPdb00649	6	291
PNPdb01990	9	292
PNPdb01980	9	293
PNPdb00650	5	294
PNPdb01981	10	295
PNPdb01982	9	296
PNPdb00652	4	297
PNPdb00653	5	298
PNPdb00654	5	299
PNPdb01985	10	300
PNPdb00655	6	301
PNPdb01986	11	302
BGC0002544.0	7	303
PNPdb00656	6	304
PNPdb01987	9	305
BGC0002544.1	7	306
PNPdb01988	9	307
PNPdb00658	6	308
PNPdb01989	10	309
PNPdb00659	6	310
BGC0002509.4	0	159
BGC0002509.3	0	159
BGC0002509.2	0	159
BGC0002509.1	0	159
BGC0002509.0	0	159
BGC0001417.0	5	311
PNPdb00670	8	312
PNPdb00660	7	247
PNPdb00661	6	313
PNPdb00662	7	314
NPA026276	4	315
PNPdb01994	2	316
NPA009703	9	317
PNPdb00664	6	318
PNPdb01995	4	319
NPA014290	10	212
PNPdb00665	7	66
PNPdb01996	3	248
PNPdb00666	6	320
PNPdb01997	4	321
NPA009706	7	322
PNPdb00667	8	323
PNPdb01998	3	324
PNPdb00668	6	325
PNPdb01999	5	326
PNPdb00669	7	327
BGC0001657.0	12	328
NPA022739	6	329
BGC0002499.0	0	155
NPA009762	8	330
PNPdb00680	6	331
PNPdb00671	8	332
PNPdb00672	8	272
BGC0001261.0	3	333
PNPdb00673	11	120
PNPdb00674	11	334
PNPdb00675	11	335
PNPdb00676	11	336
PNPdb00677	10	337
PNPdb00679	6	338
BGC0001394.0	1	339
NPA007112	3	340
NPA009777	3	341
NPA007111	13	342
NPA008447	7	343
NPA007116	15	344
PNPdb00690	5	345
PNPdb00691	8	346
NPA009775	2	347
PNPdb00692	6	348
PNPdb00682	5	349
NPA007109	6	350
PNPdb00683	4	351
PNPdb00684	6	352
NPA007107	5	353
PNPdb00686	6	310
BGC0002531.0	4	182
NPA008439	12	354
PNPdb00688	8	247
PNPdb00689	7	314
NPA010755	5	355
BGC0001942.0	1	356
BGC0000986.12	2	357
BGC0000986.11	2	357
BGC0000986.10	2	357
BGC0002126.0	8	287
PNPdb00693	5	358
BGC0002379.0	14	359
PNPdb00694	7	360
PNPdb00695	10	361
PNPdb00696	7	362
PNPdb00697	8	363
PNPdb00698	11	364
PNPdb00699	10	365
NPA010721	3	366
NPA010720	11	367
NPA009754	6	368
NPA009757	6	369
NPA009748	7	370
NPA010734	4	99
NPA010735	3	366
NPA010733	20	371
BGC0000290.0	6	372
NPA007029	7	373
NPA009684	2	374
NPA022651	5	375
NPA022653	5	375
NPA022652	5	375
PNPdb00594	8	376
PNPdb00595	6	377
PNPdb00596	8	378
PNPdb00597	6	379
PNPdb00598	7	380
PNPdb00599	8	381
BGC0002188.0	6	265
NPA019015	5	382
NPA011996	5	383
BGC0002188.1	6	384
NPA019016	4	385
NPA019017	11	386
NPA008360	5	387
NPA008362	7	388
NPA008369	7	389
BGC0000949.1	0	390
BGC0000949.0	0	390
