ID	Name	SMILES	Origin	InChiKey	Source	Alternative IDs
BGC0000299.2	dibromoalterochromide A	C[C@H](CC)[C@@H]1NC([C@@H](NC([C@@H](NC([C@H](C(C)C)NC([C@H]([C@H](OC1=O)C)NC(/C=C/C=C/C=C/C=C/C2=CC(Br)=C(C(Br)=C2)O)=O)=O)=O)CC(N)=O)=O)CC(N)=O)=O	Pseudoalteromonas piscicida JCM 20779	HZIJHQGDRVSUDK-NPMLWNHGSA-N	MIBiG4.0rc1	
BGC0000299.3	alterochromide B	C[C@H](CC)[C@@H]1NC([C@@H](NC([C@@H](NC([C@H](C(C)C)NC([C@H]([C@H](OC1=O)C)NC(/C=C/C=C/C=C/C=C/C=C/C2=CC=C(C=C2)O)=O)=O)=O)CC(N)=O)=O)CC(N)=O)=O	Pseudoalteromonas piscicida JCM 20779; Pseudoalteromonas T1lg65	NRENFEWSRZCNTG-UIRCOVLUSA-N	MIBiG4.0rc1	BGC0003074.0
BGC0000299.4	bromoalterochromide B	C[C@H](CC)[C@@H]1NC([C@@H](NC([C@@H](NC([C@H](C(C)C)NC([C@H]([C@H](OC1=O)C)NC(/C=C/C=C/C=C/C=C/C=C/C2=CC=C(C(Br)=C2)O)=O)=O)=O)CC(N)=O)=O)CC(N)=O)=O	Pseudoalteromonas piscicida JCM 20779; Pseudoalteromonas T1lg65	NZJQBXKEZKQLLD-NMQNFTODSA-N	MIBiG4.0rc1	BGC0003074.1
BGC0000299.5	dibromoalterochromide B	C[C@H](CC)[C@@H]1NC([C@@H](NC([C@@H](NC([C@H](C(C)C)NC([C@H]([C@H](OC1=O)C)NC(/C=C/C=C/C=C/C=C/C=C/C2=CC(Br)=C(C(Br)=C2)O)=O)=O)=O)CC(N)=O)=O)CC(N)=O)=O	Pseudoalteromonas piscicida JCM 20779; Pseudoalteromonas T1lg65	HTBRFQWHWBVFDI-OYJGWVIESA-N	MIBiG4.0rc1	BGC0003074.2
BGC0000299.6	alterochromide A'	O=C([C@@H](NC([C@@H](NC([C@H](C(C)C)NC([C@H]([C@H](OC1=O)C)NC(/C=C/C=C/C=C/C=C/C2=CC=C(C=C2)O)=O)=O)=O)CC(N)=O)=O)CC(N)=O)N[C@H]1CC(C)C	Pseudoalteromonas piscicida JCM 20779	OWKXPRGJANXGFA-GSBAQSCKSA-N	MIBiG4.0rc1	
BGC0000299.7	bromoalterochromide A'	C[C@@H]1[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O1)CC(C)C)CC(=O)N)CC(=O)N)C(C)C)NC(=O)/C=C/C=C/C=C/C=C/C2=CC(=C(C=C2)O)Br	Pseudoalteromonas piscicida JCM 20779; Pseudoalteromonas maricaloris	AZKKJPHFGXHXKQ-YRLMMGSCSA-N	MIBiG4.0rc1; NPAtlas	NPA005881
BGC0000299.8	dibromoalterochromide A'	O=C([C@@H](NC([C@@H](NC([C@H](C(C)C)NC([C@H]([C@H](OC1=O)C)NC(/C=C/C=C/C=C/C=C/C2=CC(Br)=C(C(Br)=C2)O)=O)=O)=O)CC(N)=O)=O)CC(N)=O)N[C@H]1CC(C)C	Pseudoalteromonas piscicida JCM 20779	QYGWYWHHLSTRMY-GHTLAPQGSA-N	MIBiG4.0rc1	
BGC0000299.9	alterochromide B'	O=C([C@@H](NC([C@@H](NC([C@H](C(C)C)NC([C@H]([C@H](OC1=O)C)NC(/C=C/C=C/C=C/C=C/C=C/C2=CC=C(C=C2)O)=O)=O)=O)CC(N)=O)=O)CC(N)=O)N[C@H]1CC(C)C	Pseudoalteromonas piscicida JCM 20779; Pseudoalteromonas T1lg65	QXFREDMSNUKBFB-ZRODPMGZSA-N	MIBiG4.0rc1	BGC0003074.3
BGC0000300.0	amychelin A	OC[C@@H](NC(=O)[C@H](CO)NC(=O)[C@H]1COC(=N1)C1=CC=CC=C1O)C(=O)N[C@@H](CO)C(=O)N[C@H](CCCN(O)C=O)C(=O)N[C@@H]1CCCN(O)C1=O	Streptomyces sp. AA4; Amycolatopsis methanolica	YMYRNIMWOZETPY-OVQJPPBNSA-N	MIBiG4.0rc1	BGC0002544.0
BGC0000301.0	anabaenopeptin 908	CC[C@@H]([C@H]1C(NCCCC[C@@H](NC(N[C@H](C(O)=O)CCCNC(N)=N)=O)C(N[C@@H](C(C)C)C(N[C@@H](CCC2=CC=C(O)C=C2)C(N(C)[C@@H](CCC3=CC=C(O)C=C3)C(N1)=O)=O)=O)=O)=O)C	Planktothrix agardhii NIVA-CYA 126/8	FPSCSFRHCCJLDN-ORCWKVIUSA-N	MIBiG4.0rc1	
