InChiKey_prefix	ID_1	Name_1	Source_1	SMILES_1	ID_2	Name_2	Source_2	SMILES_2	InChiKey_2	Comment
HNSRCWWMQWCNGW	BGC0001477.0	lydicamycin	MIBiG4.0rc1	CC1=CC2C(CCC(C2O)O)C(C1CCC(C)C(/C(=C/CC(/C=C/C(C)C(/C=C/CC(/C(=C/CC(CC3CCCN3C(=N)N)O)/C)O)O)O)/C)O)(C)/C(=C\4/C(=O)CNC4=O)/O	BGC0003042.0	lydicamycin	MIBiG4.0rc1	CC1=C[C@@H]2[C@@H](CC[C@H]([C@H]2O)O)[C@@]([C@@H]1CCC(C)C(/C(=C/CC(/C=C/C(C)C(/C=C/CC(/C(=C/CC(CC3CCCN3C(=N)N)O)/C)O)O)O)/C)O)(C)C(=C4C(=O)CNC4=O)O	HNSRCWWMQWCNGW-FRZGMMNISA-N	names match
YCLORVUKJQGWLJ	BGC0001833.0	icosalide A	MIBiG4.0rc1	CCCCCCCC1CC(=O)NC(CO)C(=O)NC(CC(C)C)C(=O)OC(CCCCC)CC(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)O1	NPA002391	Icosalide A1	NPAtlas	CCCCCCCC1CC(=O)N[C@H](C(=O)N[C@H](C(=O)OC(CC(=O)N[C@@H](C(=O)N[C@H](C(=O)O1)CO)CC(C)C)CCCCC)CC(C)C)CO	YCLORVUKJQGWLJ-FVZWBAAQSA-N	https://pubmed.ncbi.nlm.nih.gov/30160099/
AECZOENDDUTONS	BGC0001881.0	pyrichalasin H	MIBiG4.0rc1	CC1C/C=C/C2C(C(=C)C(C3C2(C(/C=C/C(C1)(C)O)OC(=O)C)C(=O)NC3CC4=CC=C(C=C4)OC)C)O	BGC0001982.0	pyrichalasin H	MIBiG4.0rc1	C[C@H]1C/C=C\[C@H]2[C@@H](C(=C)[C@H]([C@@H]3[C@@]2([C@@H](/C=C\[C@](C1)(C)O)OC(=O)C)C(=O)N[C@H]3CC4=CC=C(C=C4)OC)C)O	AECZOENDDUTONS-GWOQVDQJSA-N	names match
JIJATTFJYJZEBT	BGC0001919.0	neoantimycin	MIBiG4.0rc1	CCC(C)C1C(=O)OC(C(C(=O)OC(C(=O)OC(C(C(C(=O)O1)(C)C)O)CC2=CC=CC=C2)C(C)C)NC(=O)C3=C(C(=CC=C3)NC=O)O)C	BGC0001695.0	neoantimycin	MIBiG4.0rc1	[H][C@]1(OC(=O)C(C)(C)[C@@H](O)[C@@H](CC2=CC=CC=C2)OC(=O)[C@@H](OC(=O)[C@@H](NC(=O)C2=C(O)C(NC=O)=CC=C2)[C@H](C)OC1=O)C(C)C)[C@@H](C)CC	JIJATTFJYJZEBT-MDDNAQDNSA-N	names match
QTARRKFUMCSVOF	BGC0002324.0	myxochelin B	MIBiG4.0rc1	NCC(CCCCNC(=O)C1=C(O)C(O)=CC=C1)NC(=O)C1=C(O)C(O)=CC=C1	BGC0001345.1	myxochelin B	MIBiG4.0rc1	C1=CC(=C(C(=C1)O)O)C(=O)NCCCC[C@@H](CN)NC(=O)C2=C(C(=CC=C2)O)O	QTARRKFUMCSVOF-LBPRGKRZSA-N	names match
QTARRKFUMCSVOF	BGC0002492.0	myxochelin B	MIBiG4.0rc1	NCC(CCCCNC(=O)C1=C(O)C(O)=CC=C1)NC(=O)C1=C(O)C(O)=CC=C1	BGC0001345.1	myxochelin B	MIBiG4.0rc1	C1=CC(=C(C(=C1)O)O)C(=O)NCCCC[C@@H](CN)NC(=O)C2=C(C(=CC=C2)O)O	QTARRKFUMCSVOF-LBPRGKRZSA-N	names match
ZQCAUNGVEIYRKP	BGC0002569.2	ornibactin C6	MIBiG4.0rc1	CCCC(CC(=O)N(CCCC(C(=O)NC(C(C(=O)O)O)C(=O)NC(CO)C(=O)NC(CCCN(C=O)O)C(=O)NCCCCN)N)O)O	NOR00832	ornibactin C6	Norine	CCCC(CC(=O)N(CCC[C@@H](C(=O)N[C@H]([C@H](C(=O)O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCN(C=O)O)C(=O)NCCCCN)N)O)O	ZQCAUNGVEIYRKP-VCYWQZMXSA-N	names match
ARGJHMFHVZLKHE	BGC0002844.0	burkholdine Bk1215	MIBiG4.0rc1	CCCCCCCCCCCC(C(C(CC1CC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)C(C(=O)N)O)CO)CC(=O)N)CCN)C(C2=CC=C(C=C2)O)O)CO)O)O)OC3C(C(C(CO3)O)O)O	NPA014414	Burkholidine 1215	NPAtlas	CCCCCCCCCCC[C@@H]([C@@H]([C@@H](C[C@@H]1CC(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)[C@@H](C(=O)N)O)CO)CC(=O)N)CCN)[C@@H](C2=CC=C(C=C2)O)O)CO)O)O)O[C@H]3[C@@H]([C@H]([C@@H](CO3)O)O)O	ARGJHMFHVZLKHE-YXCBPLLZSA-N	names match
YCLORVUKJQGWLJ	BGC0002881.0	icosalide A1	MIBiG4.0rc1	CCCCCCCC1CC(=O)NC(CO)C(=O)NC(CC(C)C)C(=O)OC(CCCCC)CC(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)O1	NPA002391	Icosalide A1	NPAtlas	CCCCCCCC1CC(=O)N[C@H](C(=O)N[C@H](C(=O)OC(CC(=O)N[C@@H](C(=O)N[C@H](C(=O)O1)CO)CC(C)C)CCCCC)CC(C)C)CO	YCLORVUKJQGWLJ-FVZWBAAQSA-N	names match
RJURFGZVJUQBHK	BGC0002889.3	actinomycin D	MIBiG4.0rc1	CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C	BGC0000296.0	actinomycin D	MIBiG4.0rc1	[H][C@@]12CCCN1C(=O)[C@]([H])(NC(=O)[C@@]([H])(NC(=O)C1=CC=C(C)C3=C1N=C1C(O3)=C(C)C(=O)C(N)=C1C(=O)N[C@]1([H])C(=O)N[C@]([H])(C(C)C)C(=O)N3CCC[C@@]3([H])C(=O)N(C)CC(=O)N(C)[C@@]([H])(C(C)C)C(=O)O[C@]1([H])C)[C@@]([H])(C)OC(=O)[C@]([H])(C(C)C)N(C)C(=O)CN(C)C2=O)C(C)C	RJURFGZVJUQBHK-IIXSONLDSA-N	names match
