ID	Name	SMILES	Origin	InChiKey	Source	Alternative IDs
BGC0000316.2	capreomycin IIA	O=C(N[C@@H](CN)C(N/C(C(N[C@@H]([C@H]1CCN=C(N)N1)C(NC[C@H](N)C(N2)=O)=O)=O)=C\NC(N)=O)=O)[C@@H]2CO	Saccharothrix mutabilis subsp. capreolus	XFGCTBYTRMLWCB-MRSVHRRQSA-N	MIBiG4.0rc1	
BGC0000316.3	capreomycin IIB	C[C@H]1C(=O)N[C@H](C(=O)N/C(=C\NC(=O)N)/C(=O)N[C@H](C(=O)NC[C@@H](C(=O)N1)N)[C@H]2CCN=C(N2)N)CN	Saccharothrix mutabilis subsp. capreolus	MHBQQDNEPQYCOS-CBQPQWBASA-N	MIBiG4.0rc1	
BGC0000317.0	cephalosporin C	CC(=O)OCC1=C(N2C(SC1)C(NC(=O)CCCC(N)C(O)=O)C2=O)C(O)=O	Acremonium chrysogenum ATCC 11550	HOKIDJSKDBPKTQ-UHFFFAOYSA-N	MIBiG4.0rc1	
BGC0000318.0	cephalosporin, cefEFG genes	C=C1CS[C@@H](N=C1C(=O)O)[C@@H](C(=O)O)NC(=O)CCCC[C@H](C(=O)O)N	Acremonium chrysogenum ATCC 11550	JGKXEMYIHDYWCZ-JFUSQASVSA-N	MIBiG4.0rc1	
BGC0000319.0	cephamycin C	CO[C@]1(NC(=O)CCCC(N)C(O)=O)C2SCC(COC(N)=O)=C(N2C1=O)C(O)=O	Streptomyces clavuligerus ATCC 27064	LXWBXEWUSAABOA-YQIDSGEHSA-N	MIBiG4.0rc1	
BGC0000320.0	cereulide	CC(C)C[C@H]1OC(=O)[C@@H](NC(=O)[C@@H](OC(=O)[C@@H](C)NC(=O)[C@@H](CC(C)C)OC(=O)[C@@H](NC(=O)[C@@H](OC(=O)[C@@H](C)NC(=O)[C@@H](CC(C)C)OC(=O)[C@@H](NC(=O)[C@@H](OC(=O)[C@@H](C)NC1=O)C(C)C)C(C)C)C(C)C)C(C)C)C(C)C)C(C)C	Bacillus cereus	JWWAHGUHYLWQCQ-UHZBFKKDSA-N	MIBiG4.0rc1	
BGC0000321.0	chaetocin	CN1C(=O)[C@@]23C[C@]4([C@@H](N2C(=O)[C@]1(SS3)CO)NC5=CC=CC=C54)[C@]67C[C@@]89C(=O)N([C@](C(=O)N8[C@@H]6NC1=CC=CC=C71)(SS9)CO)C	Collariella virescens; Chaetomium minutum	PZPPOCZWRGNKIR-NAUSJNOYSA-N	MIBiG4.0rc1; NPAtlas	NPA020287
BGC0000323.1	cichofactin B	O=C(N[C@@H](CC(C)C)C(N[C@@H](CC(C)C)C(N[C@@H](CCC(N)=O)C(N[C@@H](CC(C)C)C(N[C@@H](CCC(N)=O)C(N[C@@H](C(C)C)C(N[C@@H](CC(C)C)C(N[C@@H](CC(C)C)C(O)=O)=O)=O)=O)=O)=O)=O)=O)[C@H](CC1=CNC=N1)NC(CC(O)CCCCCCCCC)=O	Pseudomonas cichorii	DYMCOQIZBKUFDL-CALMWFSYSA-N	MIBiG4.0rc1	
BGC0000325.0	coelichelin	C[C@@H](O)[C@@H](NC(=O)[C@H](N)CCCN(O)C=O)C(=O)N(O)CCC[C@H](NC(=O)[C@H](N)CCCN(O)C=O)C(O)=O	Streptomyces coelicolor A3(2); Streptomyces coelicolor; Streptomyces coelicolor	ZPJLQAOTGYKOBJ-OVYGPGRDSA-N	MIBiG4.0rc1; Norine	NOR01141
BGC0000328.0	coronatine	CCC1CC1(NC(=O)C1=CC(CC)CC2C1CCC2=O)C(O)=O	Pseudomonas savastanoi pv. glycinea; Pseudomonas syringae pv. atropurpurea; Pseudomonas syringae pv. maculicola; Pseudomonas syringae pv. glycinea; Pseudomonas syringae pv. morsprunorum; Pseudomonas syringae pv. tomato	FMGBNISRFNDECK-UHFFFAOYSA-N	MIBiG4.0rc1; Norine	NOR00294
